unique_key,descriptor,incident_zip,created_date,city,:@computed_region_sbqj_enih,cross_street_2,:@computed_region_efsh_h5xi,park_facility_name,:@computed_region_92fq_4b7q,intersection_street_1,landmark,agency_name,latitude,x_coordinate_state_plane,:@computed_region_yeji_bk3q,incident_address,location_type,cross_street_1,community_board,agency,park_borough,borough,street_name,complaint_type,longitude,:@computed_region_f5dn_yrer,status,y_coordinate_state_plane,intersection_street_2,bridge_highway_name,bridge_highway_segment,resolution_action_updated_date,closed_date,address_type,bridge_highway_direction,taxi_pick_up_location,facility_type,road_ramp,due_date
51277240,Grass/Weeds,10475,2021-07-21T20:10:25.000,N/A,28,DONIZETTI PLACE,12344,Unspecified,2,BAYCHESTER AVENUE,N/A,Department of Parks and Recreation,40.87602263065936,1030196,5,BAYCHESTER AVENUE,Street/Curbside,BAYCHESTER AVENUE,10 BRONX,DPR,BRONX,BRONX,BAYCHESTER AVENUE,Maintenance or Facility,-73.83385918967944,43,In Progress,258480,DONIZETTI PLACE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51283450,Loud Music/Party,10466,2021-07-21T20:10:14.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51286094,In Public,10472,2021-07-21T20:10:00.000,BRONX,26,CHATTERTON AVENUE,11610,Unspecified,31,BRUCKNER BOULEVARD,OLMSTEAD AVENUE,New York City Police Department,40.82766240390174,1024879,5,1020 OLMSTEAD AVENUE,Store/Commercial,BRUCKNER BOULEVARD,09 BRONX,NYPD,BRONX,BRONX,OLMSTEAD AVENUE,Drinking,-73.85319226711394,58,Closed,240851,CHATTERTON AVENUE,N/A,N/A,2021-07-22T00:34:14.000,2021-07-21T20:34:10.000,N/A,N/A,N/A,N/A,N/A,N/A
51282387,Loud Music/Party,10466,2021-07-21T20:09:55.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51286705,Car/Truck Horn,11366,2021-07-21T20:09:54.000,FRESH MEADOWS,65,78 ROAD,14508,Unspecified,24,78 AVENUE,PARSONS BOULEVARD,New York City Police Department,40.72195913199264,1037000,3,78-15 PARSONS BOULEVARD,Street/Sidewalk,78 AVENUE,08 QUEENS,NYPD,QUEENS,QUEENS,PARSONS BOULEVARD,Noise - Vehicle,-73.80969682426189,25,Closed,202363,78 ROAD,N/A,N/A,2021-07-22T00:40:17.000,2021-07-21T20:40:11.000,N/A,N/A,N/A,N/A,N/A,N/A
51279101,In Public,10472,2021-07-21T20:09:29.000,BRONX,26,CHATTERTON AVENUE,11610,Unspecified,31,BRUCKNER BOULEVARD,OLMSTEAD AVENUE,New York City Police Department,40.82766240390174,1024879,5,1020 OLMSTEAD AVENUE,Store/Commercial,BRUCKNER BOULEVARD,09 BRONX,NYPD,BRONX,BRONX,OLMSTEAD AVENUE,Drinking,-73.85319226711394,58,Closed,240851,CHATTERTON AVENUE,N/A,N/A,2021-07-22T00:10:13.000,2021-07-21T20:10:10.000,N/A,N/A,N/A,N/A,N/A,N/A
51276663,With License Plate,10304,2021-07-21T20:09:29.000,STATEN ISLAND,74,YOUNG STREET,10691,Unspecified,13,BROAD STREET,TARGEE STREET,New York City Police Department,40.622444891145044,960936,1,193 TARGEE STREET,Street/Sidewalk,BROAD STREET,01 STATEN ISLAND,NYPD,STATEN ISLAND,STATEN ISLAND,TARGEE STREET,Abandoned Vehicle,-74.0839831372535,4,Closed,166061,YOUNG STREET,N/A,N/A,2021-07-22T01:08:25.000,2021-07-21T21:08:21.000,N/A,N/A,N/A,N/A,N/A,N/A
51279137,Blocked Hydrant,10466,2021-07-21T20:09:13.000,BRONX,30,LOWERRE PLACE,11275,Unspecified,2,CARPENTER AVENUE,EAST  230 STREET,New York City Police Department,40.89187241649303,1022911,5,655 EAST  230 STREET,Street/Sidewalk,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  230 STREET,Illegal Parking,-73.86016845296459,29,In Progress,264242,LOWERRE PLACE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51282304,Loud Music/Party,10466,2021-07-21T20:09:10.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51287168,Commercial Overnight Parking,11378,2021-07-21T20:08:50.000,MASPETH,62,55 STREET,14788,Unspecified,34,METROPOLITAN AVENUE,ANDREWS AVENUE,New York City Police Department,40.713755450955624,1009523,3,54-23 ANDREWS AVENUE,Street/Sidewalk,METROPOLITAN AVENUE,05 QUEENS,NYPD,QUEENS,QUEENS,ANDREWS AVENUE,Illegal Parking,-73.90883531197031,54,In Progress,199330,55 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51285973,Posted Parking Sign Violation,11234,2021-07-21T20:08:46.000,BROOKLYN,38,RYDER STREET,13825,Unspecified,26,EAST   38 STREET,AVENUE M,New York City Police Department,40.62044953021061,1001529,2,3802 AVENUE M,Street/Sidewalk,EAST   38 STREET,18 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,AVENUE M,Illegal Parking,-73.93775837917617,5,Closed,165329,RYDER STREET,N/A,N/A,2021-07-22T01:35:16.000,2021-07-21T21:35:11.000,N/A,N/A,N/A,N/A,N/A,N/A
51283435,Loud Music/Party,10466,2021-07-21T20:08:34.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51281194,Rat Sighting,10036,2021-07-21T20:08:10.000,NEW YORK,10,10 AVENUE,13094,Unspecified,10,9 AVENUE,WEST   46 STREET,Department of Health and Mental Hygiene,40.761247996139645,986634,4,410 WEST   46 STREET,3+ Family Apt. Building,9 AVENUE,04 MANHATTAN,DOHMH,MANHATTAN,MANHATTAN,WEST   46 STREET,Rodent,-73.99139431226614,12,In Progress,216620,10 AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51282422,Loud Music/Party,10466,2021-07-21T20:08:08.000,BRONX,30,NEREID AVENUE,11275,Unspecified,2,PITMAN AVENUE,WILDER AVENUE,New York City Police Department,40.89799943482672,1027451,5,4331 WILDER AVENUE,Residential Building/House,PITMAN AVENUE,12 BRONX,NYPD,BRONX,BRONX,WILDER AVENUE,Noise - Residential,-73.84373347426701,29,In Progress,266482,NEREID AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51279230,Loud Music/Party,10466,2021-07-21T20:08:05.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51288009,Catch Basin Clogged/Flooding (Use Comments) (SC),11375,2021-07-21T20:08:00.000,Forest Hills,70,110 ST,14786,Unspecified,28,N/A,N/A,Department of Environmental Protection,40.728396085391374,1026704,3,108-58 67 ROAD,N/A,108 ST,06 QUEENS,DEP,QUEENS,QUEENS,67 ROAD,Sewer,-73.84682636621504,40,Open,204688,N/A,N/A,N/A,N/A,N/A,ADDRESS,N/A,N/A,N/A,N/A,N/A
51280484,REFRIGERATOR,11235,2021-07-21T20:07:48.000,BROOKLYN,36,N/A,13826,Unspecified,15,N/A,N/A,Department of Housing Preservation and Development,40.58226606842714,997026,2,50 SHORE BOULEVARD,RESIDENTIAL BUILDING,N/A,15 BROOKLYN,HPD,BROOKLYN,BROOKLYN,SHORE BOULEVARD,APPLIANCE,-73.95400519238939,32,Open,151415,N/A,N/A,N/A,2021-07-21T00:00:00.000,N/A,ADDRESS,N/A,N/A,N/A,N/A,N/A
51282925,WALL,10468,2021-07-21T20:07:43.000,BRONX,33,N/A,11606,Unspecified,29,N/A,N/A,Department of Housing Preservation and Development,40.871047099317984,1012400,5,85 STRONG STREET,RESIDENTIAL BUILDING,N/A,08 BRONX,HPD,BRONX,BRONX,STRONG STREET,PAINT/PLASTER,-73.89821720913496,48,Open,256640,N/A,N/A,N/A,2021-07-21T00:00:00.000,N/A,ADDRESS,N/A,N/A,N/A,N/A,N/A
51285752,Pothole,N/A,2021-07-21T20:07:33.000,N/A,N/A,CHEVY CHASE STREET,N/A,Unspecified,N/A,N/A,N/A,Department of Transportation,N/A,N/A,N/A,AVON STREET,N/A,188 STREET,Unspecified QUEENS,DOT,QUEENS,QUEENS,AVON STREET,Street Condition,N/A,N/A,Closed,N/A,N/A,N/A,N/A,2021-07-21T20:07:33.000,2021-07-21T20:07:33.000,BLOCKFACE,N/A,N/A,N/A,N/A,N/A
