unique_key,descriptor,incident_zip,created_date,city,:@computed_region_sbqj_enih,cross_street_2,:@computed_region_efsh_h5xi,park_facility_name,:@computed_region_92fq_4b7q,intersection_street_1,landmark,agency_name,latitude,x_coordinate_state_plane,:@computed_region_yeji_bk3q,incident_address,location_type,cross_street_1,community_board,agency,park_borough,borough,street_name,complaint_type,longitude,:@computed_region_f5dn_yrer,status,y_coordinate_state_plane,intersection_street_2,bridge_highway_name,bridge_highway_segment,resolution_action_updated_date,closed_date,address_type,bridge_highway_direction,taxi_pick_up_location,facility_type,road_ramp,due_date
51279295,Loud Music/Party,10024,2021-07-22T02:07:13.000,NEW YORK,15,AMSTERDAM AVENUE,12421,Unspecified,19,JOHN L NELSON WAY,WEST   91 STREET,New York City Police Department,40.79060538759644,991983,4,124 WEST   91 STREET,Street/Sidewalk,JOHN L NELSON WAY,07 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,WEST   91 STREET,Noise - Street/Sidewalk,-73.97207335191396,20,In Progress,227317,AMSTERDAM AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51276756,Non-Chronic,N/A,2021-07-22T02:05:30.000,N/A,4,N/A,11723,Unspecified,32,N/A,N/A,Department of Homeless Services,40.7184624813724,987638,4,N/A,Subway,N/A,Unspecified MANHATTAN,DHS,MANHATTAN,MANHATTAN,N/A,Homeless Person Assistance,-73.98777795585599,70,In Progress,201032,N/A,J,Mezzanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280279,Loud Music/Party,10455,2021-07-22T02:04:33.000,BRONX,23,EAST  156 STREET,10934,Unspecified,43,WHITE PLAINS ROAD LINE,CAULDWELL AVENUE,New York City Police Department,40.81952103393647,1009591,5,735 CAULDWELL AVENUE,Street/Sidewalk,WHITE PLAINS ROAD LINE,01 BRONX,NYPD,BRONX,BRONX,CAULDWELL AVENUE,Noise - Street/Sidewalk,-73.90844474246572,49,In Progress,237864,EAST  156 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277354,Loud Music/Party,10466,2021-07-22T02:03:39.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51281358,Loud Music/Party,11210,2021-07-22T02:03:14.000,BROOKLYN,40,EAST   32 STREET,17217,Unspecified,26,EAST   31 STREET,GLENWOOD ROAD,New York City Police Department,40.63408186153678,999071,2,3111 GLENWOOD ROAD,Residential Building/House,EAST   31 STREET,17 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,GLENWOOD ROAD,Noise - Residential,-73.94660156926045,61,In Progress,170294,EAST   32 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51286812,Blocked Hydrant,11208,2021-07-22T02:02:23.000,BROOKLYN,47,DUMONT AVENUE,17215,Unspecified,25,BLAKE AVENUE,EUCLID AVENUE,New York City Police Department,40.670167565651546,1020136,2,669 EUCLID AVENUE,Street/Sidewalk,BLAKE AVENUE,05 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,EUCLID AVENUE,Illegal Parking,-73.87063670338338,45,In Progress,183463,DUMONT AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277334,Loud Music/Party,10466,2021-07-22T02:01:03.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277228,Blocked Hydrant,10035,2021-07-22T02:00:36.000,NEW YORK,16,METRO NORTH-CONNECTING RAIL LINE,13093,Unspecified,36,MADISON AVENUE,EAST  119 STREET,New York City Police Department,40.80167781379363,1000075,4,63 EAST  119 STREET,Street/Sidewalk,MADISON AVENUE,11 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,EAST  119 STREET,Illegal Parking,-73.94284071616485,7,In Progress,231355,METRO NORTH-CONNECTING RAIL LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51284642,Banging/Pounding,10002,2021-07-22T02:00:01.000,NEW YORK,4,CHERRY STREET,11723,Unspecified,32,MADISON STREET,RUTGERS STREET,New York City Police Department,40.71070871355096,987123,4,55 RUTGERS STREET,Residential Building/House,MADISON STREET,03 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,RUTGERS STREET,Noise - Residential,-73.98963699875588,70,In Progress,198207,CHERRY STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51285845,Loud Television,10455,2021-07-22T01:59:53.000,BRONX,23,RAE STREET,10933,Unspecified,43,WHITE PLAINS ROAD LINE,ST ANNS AVENUE,New York City Police Department,40.816937935331815,1008731,5,660 ST ANNS AVENUE,Residential Building/House,WHITE PLAINS ROAD LINE,01 BRONX,NYPD,BRONX,BRONX,ST ANNS AVENUE,Noise - Residential,-73.91155529636806,49,In Progress,236922,RAE STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51286838,Loud Music/Party,10466,2021-07-22T01:59:53.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280287,Loud Music/Party,10466,2021-07-22T01:58:49.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51279125,Loud Music/Party,10040,2021-07-22T01:58:42.000,NEW YORK,22,TED BUCZEK WAY,13098,Unspecified,39,WEST  193 STREET,AUDUBON AVENUE,New York City Police Department,40.85676340295991,1004499,4,569 AUDUBON AVENUE,Residential Building/House,WEST  193 STREET,12 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,AUDUBON AVENUE,Noise - Residential,-73.9268008212068,47,In Progress,251428,TED BUCZEK WAY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51281468,No Access,10462,2021-07-22T01:58:40.000,BRONX,26,WOOD AVENUE,11271,Unspecified,31,MCGRAW AVENUE,VIRGINIA AVENUE,New York City Police Department,40.83491924603527,1022457,5,1367 VIRGINIA AVENUE,Street/Sidewalk,MCGRAW AVENUE,09 BRONX,NYPD,BRONX,BRONX,VIRGINIA AVENUE,Blocked Driveway,-73.86192880575501,58,In Progress,243491,WOOD AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51284571,Engine Idling,11201,2021-07-22T01:58:31.000,BROOKLYN,55,NAVY WALK,16865,Unspecified,48,HUDSON WALK,MYRTLE AVENUE,New York City Police Department,40.69354182375344,989559,2,180 MYRTLE AVENUE,Street/Sidewalk,HUDSON WALK,02 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,MYRTLE AVENUE,Noise - Vehicle,-73.9808552006961,68,In Progress,191953,NAVY WALK,N/A,N/A,2021-07-22T05:59:15.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51286810,Blocked Hydrant,11207,2021-07-22T01:58:26.000,BROOKLYN,53,CENTRAL AVENUE,17214,Unspecified,37,EVERGREEN AVENUE,DECATUR STREET,New York City Police Department,40.68720549653458,1009469,2,1108 DECATUR STREET,Street/Sidewalk,EVERGREEN AVENUE,04 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,DECATUR STREET,Illegal Parking,-73.90906632186743,42,In Progress,189657,CENTRAL AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51287928,Loud Music/Party,10466,2021-07-22T01:57:45.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51283501,Loud Music/Party,10032,2021-07-22T01:57:18.000,NEW YORK,21,FT WASHINGTON AVENUE,13090,Unspecified,39,BROADWAY,WEST  172 STREET,New York City Police Department,40.84424404365834,1000929,4,647 WEST  172 STREET,Street/Sidewalk,BROADWAY,12 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,WEST  172 STREET,Noise - Street/Sidewalk,-73.93971755210634,47,In Progress,246864,FT WASHINGTON AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280230,Loud Music/Party,10466,2021-07-22T01:56:41.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280188,Loud Music/Party,10473,2021-07-22T01:56:14.000,BRONX,26,RANDALL AVENUE,11611,Unspecified,31,SOUNDVIEW PARK PATH,ROSEDALE AVENUE,New York City Police Department,40.81634737885234,1021439,5,541 ROSEDALE AVENUE,Residential Building/House,SOUNDVIEW PARK PATH,09 BRONX,NYPD,BRONX,BRONX,ROSEDALE AVENUE,Noise - Residential,-73.8656451277913,58,In Progress,236723,RANDALL AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51281393,Loud Music/Party,10466,2021-07-22T01:55:36.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51287587,Loud Talking,11355,2021-07-22T01:54:40.000,FLUSHING,67,59 AVENUE,14190,Unspecified,3,BOOTH MEMORIAL AVENUE,157 STREET,New York City Police Department,40.742146451619966,1036589,3,57-24 157 STREET,Residential Building/House,BOOTH MEMORIAL AVENUE,07 QUEENS,NYPD,QUEENS,QUEENS,157 STREET,Noise - Residential,-73.81112235562281,22,In Progress,209717,59 AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51279210,Loud Music/Party,10466,2021-07-22T01:54:32.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51283502,Car/Truck Music,11372,2021-07-22T01:54:11.000,JACKSON HEIGHTS,73,FLUSHING LINE,14783,Unspecified,5,BROADWAY,72 STREET,New York City Police Department,40.74753048032859,1013689,3,37-59 72 STREET,Street/Sidewalk,BROADWAY,03 QUEENS,NYPD,QUEENS,QUEENS,72 STREET,Noise - Vehicle,-73.89375388522625,65,In Progress,211640,FLUSHING LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280148,Loud Music/Party,10457,2021-07-22T01:54:08.000,BRONX,31,EAST  182 STREET,10935,Bathgate Playground,22,EAST  181 STREET,WASHINGTON AVENUE,New York City Police Department,40.85253116938281,1013311,5,2130 WASHINGTON AVENUE,Park/Playground,EAST  181 STREET,06 BRONX,NYPD,BRONX,BRONX,WASHINGTON AVENUE,Noise - Park,-73.89495252892836,35,In Progress,249895,EAST  182 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51284665,Loud Music/Party,10466,2021-07-22T01:53:28.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280191,Loud Music/Party,10457,2021-07-22T01:52:23.000,N/A,31,EAST  182 STREET,10935,Unspecified,22,BATHGATE AVENUE,N/A,New York City Police Department,40.85325129878672,1013831,5,BATHGATE AVENUE,Residential Building/House,BATHGATE AVENUE,06 BRONX,NYPD,BRONX,BRONX,BATHGATE AVENUE,Noise - Residential,-73.8930717142453,35,In Progress,250158,EAST  182 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51287184,Loud Music/Party,10466,2021-07-22T01:52:23.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51284475,Loud Music/Party,10456,2021-07-22T01:51:35.000,BRONX,25,EAST  170 STREET,10934,Unspecified,42,BOSTON ROAD,CROTONA AVENUE,New York City Police Department,40.83314532871024,1012460,5,1389 CROTONA AVENUE,Residential Building/House,BOSTON ROAD,03 BRONX,NYPD,BRONX,BRONX,CROTONA AVENUE,Noise - Residential,-73.89805837130876,34,In Progress,242831,EAST  170 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51287564,Loud Music/Party,10457,2021-07-22T01:51:30.000,BRONX,29,MT HOPE PLACE,10935,Unspecified,22,EAST  176 STREET,MONROE AVENUE,New York City Police Department,40.84830843300493,1010233,5,1855 MONROE AVENUE,Residential Building/House,EAST  176 STREET,05 BRONX,NYPD,BRONX,BRONX,MONROE AVENUE,Noise - Residential,-73.9060846138547,6,In Progress,248353,MT HOPE PLACE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51283878,Loud Music/Party,11216,2021-07-22T01:51:28.000,N/A,N/A,TOMPKINS AVENUE,N/A,Unspecified,N/A,MARCY AVENUE,N/A,New York City Police Department,N/A,N/A,N/A,MACDONOUGH STREET,Street/Sidewalk,MARCY AVENUE,Unspecified BROOKLYN,NYPD,BROOKLYN,BROOKLYN,MACDONOUGH STREET,Noise - Street/Sidewalk,N/A,N/A,Closed,N/A,TOMPKINS AVENUE,N/A,N/A,2021-07-22T02:03:02.000,2021-07-22T02:03:04.000,N/A,N/A,N/A,N/A,N/A,N/A
51287913,Loud Music/Party,10466,2021-07-22T01:51:21.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280149,Banging/Pounding,10453,2021-07-22T01:51:14.000,BRONX,29,HALL OF FAME TERRACE,10931,Unspecified,29,WEST  179 STREET,SEDGWICK AVENUE,New York City Police Department,40.85696473337396,1007452,5,1991 SEDGWICK AVENUE,Residential Building/House,WEST  179 STREET,05 BRONX,NYPD,BRONX,BRONX,SEDGWICK AVENUE,Noise - Residential,-73.9161256087038,6,In Progress,251504,HALL OF FAME TERRACE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51278339,Loud Talking,11385,2021-07-22T01:50:24.000,RIDGEWOOD,62,70 AVENUE,15310,Unspecified,34,OTTO ROAD,68 PLACE,New York City Police Department,40.70599436812719,1015996,3,69-02 68 PLACE,Street/Sidewalk,OTTO ROAD,05 QUEENS,NYPD,QUEENS,QUEENS,68 PLACE,Noise - Street/Sidewalk,-73.88549924660536,54,In Progress,196510,70 AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51282299,Loud Music/Party,10466,2021-07-22T01:50:14.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51279527,Loud Music/Party,10467,2021-07-22T01:49:47.000,N/A,34,HULL AVENUE,11605,Unspecified,40,EAST  209 STREET,N/A,New York City Police Department,40.876787545694036,1018971,5,EAST  209 STREET,Street/Sidewalk,EAST  209 STREET,07 BRONX,NYPD,BRONX,BRONX,EAST  209 STREET,Noise - Street/Sidewalk,-73.8744473957362,24,Closed,258740,HULL AVENUE,N/A,N/A,2021-07-22T02:02:10.000,2021-07-22T02:02:12.000,N/A,N/A,N/A,N/A,N/A,N/A
51287311,Loud Music/Party,11208,2021-07-22T01:49:34.000,BROOKLYN,47,LOGAN STREET,17215,Unspecified,25,MILFORD STREET,BLAKE AVENUE,New York City Police Department,40.67068075703535,1018776,2,1141 BLAKE AVENUE,Residential Building/House,MILFORD STREET,05 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,BLAKE AVENUE,Noise - Residential,-73.87553833182153,45,Closed,183648,LOGAN STREET,N/A,N/A,2021-07-22T02:01:42.000,2021-07-22T02:01:43.000,N/A,N/A,N/A,N/A,N/A,N/A
51283439,Loud Music/Party,10466,2021-07-22T01:49:10.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277253,Loud Music/Party,10036,2021-07-22T01:48:57.000,NEW YORK,10,9 AVENUE,13094,Unspecified,10,8 AVENUE,WEST   46 STREET,New York City Police Department,40.76032283345122,987240,4,342 WEST   46 STREET,Store/Commercial,8 AVENUE,04 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,WEST   46 STREET,Noise - Commercial,-73.98920694255591,12,In Progress,216283,9 AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51287205,Loud Music/Party,10032,2021-07-22T01:48:24.000,NEW YORK,21,FT WASHINGTON AVENUE,13090,Unspecified,39,BROADWAY,WEST  172 STREET,New York City Police Department,40.84420284661012,1000943,4,642 WEST  172 STREET,Street/Sidewalk,BROADWAY,12 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,WEST  172 STREET,Noise - Street/Sidewalk,-73.93966698965016,47,In Progress,246849,FT WASHINGTON AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51281755,Loud Talking,10031,2021-07-22T01:48:19.000,NEW YORK,19,RIVERSIDE DRIVE,12428,Unspecified,23,BROADWAY,WEST  141 STREET,New York City Police Department,40.82411221270351,997296,4,610 WEST  141 STREET,Street/Sidewalk,BROADWAY,09 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,WEST  141 STREET,Noise - Street/Sidewalk,-73.9528624702588,37,Closed,239527,RIVERSIDE DRIVE,N/A,N/A,2021-07-22T05:51:44.000,2021-07-22T01:51:41.000,N/A,N/A,N/A,N/A,N/A,N/A
51286150,Loud Music/Party,10466,2021-07-22T01:48:06.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280581,Loud Music/Party,10467,2021-07-22T01:48:04.000,BRONX,34,DECATUR AVENUE,11605,Unspecified,40,HULL AVENUE,EAST  209 STREET,New York City Police Department,40.87670777259285,1019016,5,330 EAST  209 STREET,Street/Sidewalk,HULL AVENUE,07 BRONX,NYPD,BRONX,BRONX,EAST  209 STREET,Noise - Street/Sidewalk,-73.8742848245538,24,Closed,258711,DECATUR AVENUE,N/A,N/A,2021-07-22T02:01:48.000,2021-07-22T02:01:50.000,N/A,N/A,N/A,N/A,N/A,N/A
51286881,Partial Access,11355,2021-07-22T01:47:24.000,FLUSHING,67,MAIN STREET,14190,Unspecified,3,COLLEGE POINT BOULEVARD,41 AVENUE,New York City Police Department,40.75685292242196,1030665,3,132-40 41 AVENUE,Street/Sidewalk,COLLEGE POINT BOULEVARD,07 QUEENS,NYPD,QUEENS,QUEENS,41 AVENUE,Blocked Driveway,-73.83246355549859,22,In Progress,215063,MAIN STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51287942,Loud Music/Party,10466,2021-07-22T01:47:01.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51285851,Loud Talking,11368,2021-07-22T01:46:18.000,CORONA,68,57 AVENUE,14510,Unspecified,21,55 AVENUE,97 STREET,New York City Police Department,40.73837625696911,1021791,3,55-43 97 STREET,Street/Sidewalk,55 AVENUE,04 QUEENS,NYPD,QUEENS,QUEENS,97 STREET,Noise - Street/Sidewalk,-73.86453215086935,66,In Progress,208316,57 AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51282478,Loud Music/Party,10466,2021-07-22T01:45:57.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277173,Loud Talking,11375,2021-07-22T01:45:49.000,FOREST HILLS,70,70 ROAD,14786,Unspecified,28,70 AVENUE,METROPOLITAN AVENUE,New York City Police Department,40.71082971623881,1024938,3,99-18 METROPOLITAN AVENUE,Street/Sidewalk,70 AVENUE,06 QUEENS,NYPD,QUEENS,QUEENS,METROPOLITAN AVENUE,Noise - Street/Sidewalk,-73.85323677120455,40,Closed,198285,70 ROAD,N/A,N/A,2021-07-22T02:04:57.000,2021-07-22T02:05:02.000,N/A,N/A,N/A,N/A,N/A,N/A
51287651,Parking Permit Improper Use,11436,2021-07-22T01:45:49.000,JAMAICA,71,120 AVENUE,24671,Unspecified,46,FOCH BOULEVARD,142 STREET,New York City Police Department,40.678308369910646,1039830,3,117-07 142 STREET,Street/Sidewalk,FOCH BOULEVARD,12 QUEENS,NYPD,QUEENS,QUEENS,142 STREET,Illegal Parking,-73.79961842031584,41,In Progress,186466,120 AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51285796,Loud Music/Party,10466,2021-07-22T01:43:49.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280147,Loud Music/Party,10024,2021-07-22T01:43:25.000,NEW YORK,15,AMSTERDAM AVENUE,12421,Unspecified,19,JOHN L NELSON WAY,WEST   91 STREET,New York City Police Department,40.79047630426221,992075,4,121 WEST   91 STREET,Store/Commercial,JOHN L NELSON WAY,07 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,WEST   91 STREET,Noise - Commercial,-73.97174116155865,20,In Progress,227270,AMSTERDAM AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51286149,Loud Music/Party,10466,2021-07-22T01:42:44.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51279515,Loud Music/Party,10031,2021-07-22T01:42:12.000,NEW YORK,19,WEST  152 STREET,12428,Unspecified,36,WEST  151 STREET,ST NICHOLAS PLACE,New York City Police Department,40.82791414073471,1000324,4,22 ST NICHOLAS PLACE,Residential Building/House,WEST  151 STREET,09 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,ST NICHOLAS PLACE,Noise - Residential,-73.94191844508924,37,Closed,240914,WEST  152 STREET,N/A,N/A,2021-07-22T05:58:57.000,2021-07-22T01:58:55.000,N/A,N/A,N/A,N/A,N/A,N/A
